Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.69      1.38     0.01    33000     0.00     0.00  __gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > > std::__find_if<__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__ops::_Iter_pred<test_insert_iter(ADS_set<val_t, 7ul>&, std::set<val_t, std::less<val_t>, std::allocator<val_t> >&, unsigned long, unsigned long, std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>&)::{lambda(auto:1 const&)#1}> >(__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__ops::_Iter_pred<test_insert_iter(ADS_set<val_t, 7ul>&, std::set<val_t, std::less<val_t>, std::allocator<val_t> >&, unsigned long, unsigned long, std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>&)::{lambda(auto:1 const&)#1}>, std::random_access_iterator_tag)
  0.69      1.39     0.01     4877     0.00     0.00  ADS_set<val_t, 7ul>::doubleCapacity()
  0.69      1.40     0.01      800     0.01     0.01  test_iter(ADS_set<val_t, 7ul> const&, std::set<val_t, std::less<val_t>, std::allocator<val_t> > const&)
  0.69      1.41     0.01        4     2.50     2.50  void std::iota<__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, int>(__gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, __gnu_cxx::__normal_iterator<val_t*, std::vector<val_t, std::allocator<val_t> > >, int)
  0.69      1.42     0.01        2     5.00    89.91  do_stresstest1(std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>*)
  0.35      1.43     0.01  1165969     0.00     0.00  std::equal_to<val_t>::operator()(val_t const&, val_t const&) const
  0.35      1.43     0.01        4     1.25     1.25  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_M_release()
  0.35      1.44     0.01        2     2.50     2.50  std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>::seed(unsigned long)
  0.35      1.44     0.01                             std::__future_base::_Async_state_impl<std::thread::_Invoker<std::tuple<void (*)(std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>*), std::mersenne_twister_engine<unsigned long, 64ul, 312ul, 156ul, 31ul, 13043109905998158313ul, 29ul, 6148914691236517205ul, 17ul, 8202884508482404352ul, 37ul, 18444473444759240704ul, 43ul, 6364136223846793005ul>*> >, void>::~_Async_state_impl()
  0.00      1.44     0.00  3110685     0.00     0.00  operator==(ADS_set<val_t, 7ul>::Iterator const&, ADS_set<val_t, 7ul>::Iterator const&)
  0.00      1.44     0.00  1000000     0.00     0.00  bool it_equal<ADS_set<val_t, 7ul>, ADS_set<val_t, 7ul>::Iterator, ADS_set<val_t, 7ul>, ADS_set<val_t, 7ul>::Iterator>(ADS_set<val_t, 7ul> const&, ADS_set<val_t, 7ul>::Iterator const&, ADS_set<val_t, 7ul> const&, ADS_set<val_t, 7ul>::Iterator const&)
  0.00      1.44     0.00   220887     0.00     0.00  operator<<(std::ostream&, val_t const&)
  0.00      1.44     0.00   141093     0.00     0.00  std::less<val_t>::operator()(val_t const&, val_t const&) const
  0.00      1.44     0.00   133424     0.00     0.00  std::_Rb_tree<val_t, val_t, std::_Identity<val_t>, std::less<val_t>, std::allocator<val_t> >::_M_lower_bound(std::_Rb_tree_node<val_t> const*, std::_Rb_tree_node_base const*, val_t const&) const
